idx,label,sentence
126,0,thanks ... i'm about to switch so your work is done
127,1,i really don't like missing people
128,0,"obison, joseph salute fox mic operator's toughness after bizarre tackle   #vikings"""
129,0,nothing. @ all.  &lt;want 2 hav fun&gt;
130,0,"my apologies,patience is indeed a virtue im lacking. but im also lacking entetainment which ur cats"
131,1,really wish i was at sherwood right now  hate being ill xx
132,1, spl program in @suntv today at 5pm #devireleaseonoct7 #devigrandshow @pddancing @anj
133,0,i miss my sarah. baby come back!  (fuck bbvag smell.)
134,1,kissing both of your hands ~  have a great day.
135,0,so off to tesco instead to be treated as an inconvenience.
136,1,date with @chelseafc insert @paulene_lacson *  #vscocam #vsco
137,0,winenvinyl: the groove continues tomorrowâafter party at kensington roof! free 10-12am for w&
138,0,not a damn thing on tv.. lol..a 1000 feckin channels and nothing on .. lol..thank god for books
139,1,enjoying week-end  though the music of school graduation ceremony is annoying...
140,1,ayla_f heh -- i like 'em!  now i'm getting all wiggly with excitement. *g*
141,0,f**k! one of the best apartments in bcn just got taken...
142,0,omg.. i hate stepping into a shit hole..
143,1,ahhhh..my boo is callin me! lol..&amp; 2 think i hesistated cause these are..&quot;booty call&quot;
144,1,"made it to houston, now watching nicholas cage movies """
145,0," london, friday night, when you walk home after work ð could this make you thin"
146,0,tired now  and my sunburn hurts. gonna go to bed soon one i've decided what to watch!
147,0,birmingham new street has long been my most hated train station. i don't l
148,1,"on my way home now, walking as battery flat on car this morning """
149,0,post a complaint about the teacher at www.teachercomplaints.com  tell your friends and other
150,0, yeah for you since you got my man's number!
151,0,"i know, sorry! i was supposed to drop off your computer but time really didn't permit"
152,1," cool, well have an awesome week and maybe i'll see you around soon """
153,0,"donald trump debate fact check: isis oil, the facts vs. trumpâs claims  """
154,1,happy birthday gracie kay!!! 2 years old today!
155,1, i'm sooooo stoked forthat 16 hour van ride with all you boys though! you know you love it!
156,0, i love the smell of laundry but that stuff is giving me a horrible headache and i'm
157,1,expanding in the reproductive technologies space  -  $htl.v @hamiltonthorne @anitadushyanth
158,0,leaving town with @lizprc's cell charger isn't the best way to say thanks for a nice weekend away. b
159,0,"sun shining, listening to awesome music... what better way to start the day! """
160,1,simplymallory direct message me and ill send it to the address
161,1,thewayforwards is 1 of my favourite tv nights  trying not to spoil myself for songs 'cos the ones i
162,0,"bulldog game tonight, medieval times and angels game tomorrow! fun packed so-cal weekend with the b"
163,0,teamusa: one last medal stand moment for #teamusa! ???????? ????#thankyourio
164,0,trial of new signage in colonel light gardens for community consultation.
165,1,sitting at desk...gazing out the window and wishing i wa sout there instead of being stuck indoors..
166,1,beyond tired. wine would be so good right now. wine &amp; a cigarette
167,0,digitalmaverick i think @playcom lists minimum specs for the sims 3 on mac/pc.
168,1,  i would be soooo pissed...you all who paid $$ for the cruise should not have to pay!!!  sor
169,1,my life is really about to begin. high school was actually a good time in my life
170,0,ail piece gold tune-o-matic bridge for lp stop bar guitar parts
171,0," ok im just saying you are really like putting all the blame on me. chill out please,"
172,1,i'm excited to go to turkey in july. i can't believe i have no more maths
173,1,"oh, but don't get me wrong, the kids i am baby sitting are great! ones a kinder, and ones a first g"
174,1,"just added the greatest link building property to the new site. sign up now at  for a discount, lau"
175,1, #merseybiz august prize draw :croots rosedale cartridge bag #horseandhoof to enter r
176,0,france bring in trio ahead of november tests
177,0,shinee's onew and dia's jung chae yeon to travel to kudat for new tvn variety!
178,1,also at pa a producer waz supposed to look at me fo ra movie called the hollow tree.. he didn't show
179,0,"what type of engines are used on a cessna citation type x - bugger, this isn't a google bar. """
180,1,has got tesco finest white choc chip cookies
181,0,just got 3 shots and they hurt!
182,1,dawnrichard have an amazing time with your mommas tomorrow! show them how much they mean to you  wh
183,0,"tommcfly *------* u wrote a song in brazil, we inspired you haha, goodnight """
184,0,fredamooncotch what are the requisites for being an alpha woman? i want to be one!
185,1,digdan well that was a waste
186,0,margotana i already commented on your pictures  now i can't upload on fb ... grrrrr
187,1," for sure! me too! day ok, work crap, but it's all behind me now. i looooove ebay """
188,1, i found that interesting ..uw
189,0,rizzotees just dont bite the bug that bit you my friend. i hope you feel better. have some gatorade
190,1,wo person corner steam shower room.bluetooth audio.6 year warranty.
191,0,just found out my sister is going to the beach.  like on the atlantic ocean and such...   she trumpe
192,0,"just came back frm the dentist, wow my mouth is feeling rough, i can't feel a thing! or taste at th"
193,0,they're also on twitter themselves. hit up @ tweetmygaming!
194,1,park with diesel then the sims  texts are good.
195,0,i only seem to get web marketing &amp; other marketing/onlyne sales people following me.
196,0, a memoir - this month last year - dec 2013  #thelifesway
197,1, [official] 160824 actor_jg instagram update with baekhyun
198,1, hey bro...i'll trade u a signed iverson 16x20 photo for a signed game issued jersey. #
199,0,blue by midd knight (nate j)
200,1,o i am disappointed that the never mind the buzzcocks episode im watching is an old episode  make s
201,0,mirella: roland! jezabel needs a pickle from her apartment to be brought over to her work. start up
202,0,uk rating for transformers 2 does not appear to have been decided. hoping for 12a. my nearly 6 year
203,1,majesticflame ouch - sounds very sucky
204,0,facebook why you need to build an email list #mlm #networkmarketing
205,1,wow wow wow - i go to 'sota in 3 days.  i can't wait   such a pleasant surprise when things like thi
206,1,"if the breakaway f1 does go ahead, i'm worried that sky are going to buy all rights to it. seems li"
207,1,"happy birthday, jeff!!!  fattest cat everrr... """
208,0,just got the 12 year old boys to bed (fort of blankets &amp; chairs in basement) now its my turn.  g
209,0," thats good, i read your posts &amp; im informed,.... your in the game, so i do think yo"
210,1, your still whack!!!! kobe best player in nba!!!
211,0,"bonus sent via dm, will slip you the package next week """
212,0," ah, ok  thought you'd qualify my conference tweets as 'weird' as well."""
213,1,"ate garden greens, piece of chicken marsala with artichoke, a small slice of foccacia and a mini-br"
214,0, awesome!!hehe i'll go check it out!!thanks ma ladeeeeh!
215,1," hi renee b, heather o here.   @sillycows asked if i knew you. """
216,0, the river level was 0.26m. more info
217,1,"awe, that sucks. good luck! hope you get in. """
218,0, mc jammer? lol   how was the caffee tonight?  looked nice!
219,0,okay! im feeling good! got a start on that home-work! finallyy!
220,1,"willadam *he he* you know i didn't mean that, it's such a random time in business, but your kids a"
221,1,rump opposes federal involvement in education. but do his plans ensure a 'race toâ
222,0," okay i know who i am not calling, lol """
223,0,dwighthoward magic deserves this.  and it must have been really overwhelming. keep your head on th
224,0,"mommaude no, he didn't, but i'm dying to find out!! """
225,1,heart of the ocean-new mermaid art  for fae's ocean fantasies show
226,1,"i think the fashion show is a project runway knockoff, and seriously lower classed """
227,1,todays is katie's birthday. this is what dad got her...(for the weekend
228,0,thank you so much for the #followfriday love  @taigacompany @delamina @windyhill @ecofashionista @rt
229,0,a famous song about sauce
230,1,now i am watching terminator 2. i love chick flicks
231,0,"aw, i hate seeing people so upset..... """
232,1, grace &amp; i at the barry m event! ðâ¨ #bmbeautcamp
233,1,just got my butt kicked by bob the trainer on wii fit.  oh well..i need to get back to a &quot;norma
234,1,thanks girrl! hope they come to their senses... *sigh*
235,0,i can't imagine you using anything other than a apple product
236,0, i know!!! no  i found it online lol.
237,1, ahh! boo! that sucks.  haha come here! lol all of our providers have contracts with t
238,0, lax .... on dec 15th ... then a few days in la to kill before heading home
239,0,check out the hollister vibe 2016 playlist on spotify!  â
240,1,vickaay i know rite  but they r havin fun in da sun in hawaii!
241,0,egospelhub |  music download: kelar thrillz x oba reengy - yarb [youngâ  via @praisecampers
242,1,you're all that matters to me and you're just gonna throw me away  well i hope you're fucking happy.
243,0,"reblippin @palmer_eldritch - i love queen bitch, second favourite bowie track  ? """
244,0,moving sql databases around is fun work. you all should try it!
245,1,"  and plus, in hell you can probably have a flamethrower, and you can shoot it at the"
246,1,yummm jack in the boxxxx bored as fuuhhhh. i dont wanna go to school tomorrow. but at least its a 3
247,0,"""@liongali, @sogooey, and @blinktwice4y are coming!! """
248,0,immutable.js: an introduction with examples written for humans  #webdev
249,0,"dubtown parking lot hangouts never let me down  good to see you kiddies, as always!"""
250,1,gettin my cardio on right now. walkin to the train station awww i so miss the gym
251,0,2bb likes the noises that puzzle pirates makes
252,1, i was going to come out for that but i have a wedding to go to that day.
253,1, todays your birthday!?! happyyyyyyyy birthdayyy!!
254,0, cara delevingne for the cover of the new issue of 'ststyle' also as part of the #ladyg
255,1, but you're going to be the only one with the willpower.. because i &quot;ate&quot; all
256,0,welcome home my macbook  !! it's back from the apple urgent care haha.
257,1," lol well duh.don't be bored,theres always twitter  lmao"""
258,1,just for you @loz62 @theengteacher @pinkberrygirl @monicks @chriscattaneo @blackberrychick
259,0,4-yr-old threw some tiny toys out our 9th floor window by accident and was bawling. looked in the sh
260,1,  thanks 4 making me feel like i'm losing. it don't matter cuz u was here way b4 me and i'm ca
261,0,live from the edmonds waterfront festival
262,0,ops i forgot to tweet 26 length at the pool yesterday...650m....loads of room for improvement
263,1,at home  in my computer chair listening to the 89ers boy
264,1,enjoying a fresh mango bubble-tea slush   but still at work
265,1,"""the middle finger on my right hand is hurting right now, i had a small accident with a nail clipper"
266,0,"""whew! macapagal road, clear from traffic... hoping to be home before 8pm... sorry kids. """
267,1,",@cpritch &quot;yesterday's adventures&quot;?? do tell .."
268,1,",unisex case logic black solid laptop briefcase"
269,0,",""@dennisdoomen what? can't we, as alternative, invite some people of our own and get a beer or somet"
270,1,",""@spazzyyarn no bed, how long will you be up? like 20 more minutes at least? please  :*"""
271,1,",@rockofages  - exciting! sending positive energy your way and can't wait for tonight!"
272,0,",soon is the end of the work day so we will drinkat' some vodka later"
273,0,", @orlandocitysc: your starting xi for tonight's match. kickoff is at 7:30.tune in on @wrdq27."
274,1,",""@lizacious to answer your question like forever later, i'm writing my first novel """
275,0,",ooh my gosh...i jus got a txt from my x....wat do i do......."
276,0,",i never seem to have any time anymore."
277,1,",ela teachers @sandersmiddle55 planning for rigor and relevance in the classroom #allhandsondeck"
278,1,",@glav sweet - i'm working on something similar for an app at the office - might pick ur brain"
279,0,been a boring day so far...
280,0,",ohhh nooooo eddie jordan signed with the 76ers....who are the kings gonna get then?"
281,1,"""@iantalbot sion and sierre are very close about 20 km, about a 110 from where i live .  no comment"
282,1,",""@heidimontag my morning was beautiful too, until i have to look at your ugly face at twitter """
283,0,",buy deals &gt;&gt;  #3340 #8093 total life changes health kit **free shipping**"
284,0,",pornme - modernes all in one erotik portal ! #porno livecam &gt;&gt;  &lt;&lt;"
285,1,",@mileycyrus  - u  look so pretty love ur hair. and the piercing rocks you own it"
286,1,",@mrscole the ice cream in the place was all melted"
287,0,"287,oye really need to get to bed soon! morning will begin as early as 630-7am!"
288,0,",@anmnlutwysdt some of the compilers are missing or 'un-known'. it's pretty much fixed now"
289,0,battlenet is having a black friday sale and my eyes are on this ððð
290,1,",@mizrik lol! i know but she knows i love her"
291,0,",can't wait until rove next week"
292,1,", @positivitycth: calum by the pool ð"
293,0,",i'm gonna take a cold shower and then back to hell at work....the sign room"
294,0,",working on a website for my dad's job"
295,0,",""busybeagleyoungshady2000 (xbox 360 (th6oh)) resumed game of thrones - blackwater (s2e9), 27 minutes"
296,1,",i just lost something that was in my hand. who does that? im seriously not joking i need help. this"
297,1,",just saw the new video from the jonas brothers.. awesome!  / famlily day. -.-"
298,0,",""after reading some of the comments to @mrskutcher's twitpics, i feel less stupid """
299,1,",eating salt and vineger chips that are really vinergary its burning my mouth!"
300,0,",""@nicolehainey23 dont think you need tix, no but the premier is in novemeber init..when we are on to"
301,0,",sad       just failed to buy a late ming dynasty tibetan gilt bronze green tara statue     oh well -"
302,1,",a quarter of british homes subscribe to netflix. the firm has 13 employees in the uk."
303,1,",tmz is a show i love watching  hahaha"
304,0,",@adelgabot i've got the iphone version. it's worth it"
305,0,",@farscale obviously i couldn't say anything mean to you  *mutters* stupid fucking bitch"
306,1,",@harryrhamilin - oh i so hope you get it! saw you briefly on harpers island you were great - part to"
307,1,",things iphone 1.3.7 wifi sync is broken"
308,0,",@cgsmoove  &quot; whats good wit ya ..whats poppin yo?&quot; lol"
309,0,",having a big migraine and have to be at school all day for judging the hairdresser exam.. this is go"
310,0,",@gfalcone601 my lil sis says you look like kara dioguardi"
311,1,", @goddess_lawson: just a sample of some of the exclusive pics on my sc. info in pinned tweet. @rtdum"
312,1,",had to turn of notifications when people follow me.   which sucks because i won't be able to recipro"
313,1,",@ticklemesavi i do have that effect on the ladies"
314,1,",""@lovebaroness i have a youtube page, i'll be your second. i have no videos of my own though. """
315,0,",""with 43% certainty, i think this is image is a: redshank """
316,0,",esplar sneaker in goldavailable for online purchase:"
317,1,",my sister quincy is sick. shes been throwing up and isnt eating much. mommy &amp; daddy are worried"
318,1,",home storage ideas for underâ $100"
319,0,",oh... i can't find this perfect outfit for today :/ but i have to run now... i'll be back... about 6"
320,0,",so happy i got to see him tonight!! he makes me happy even when he's being an ass to me haha"
321,0,",i want to go for a bike ride. wish my body wasn't so invisibly broken and getting in the way of comf"
322,1,",digitalsync_ rt: was there a google search update on november 10th?"
323,0,",""loling at the jeep/chrysler arnold you-can-do-it tv ad, nicely done """
324,1,",@ashfoo i know  but someone just told me that there is a free version only there are some minor adve"
325,1,",oh no the mums put 'im a celeb get me out of her' again........i hate it"
326,0,",@marioaquino it's nice when u don't have to work"
327,0,",somehow i ended up at pinkberry!? wasn't i supposed to be in bed?"
328,1,",@selenagomez yay demi on dancing!! wouldn't miss it!"
329,1,",@postalguarelas @irenerencsi thank you both!  feedback on writings welcome !!"
330,0,",rump supporters launch #trumpcup to protest starbucks --"
331,0,",how about these season tix  @nhljets ðð¼ð¨ððð¼"
332,0,",â¡â§ assorted toy diy polymer clay 24 pcs hot kid new mix craft fimo effect blocks t"
333,1,",""reading avalon high! hah, i'm surprised """
334,1,",""@atraz omg why !!!! are you okay? what hospital, ill try and come  i have exams ughhh keep me updat"
335,1,",lets all pause and pray for the victims of the air france tragedy.."
336,0,",""#iphone given up trying to download the new os, authentication server down """
337,0,",@_the_director i am so pleased w/hillman. he gets my vote to stay a while. he's done some great thin"
338,1,",allishop 10pcs 5m pink el wire rope tube neon cold el wire +12v controller"
339,1,",@figlancaster just helping where we can."
340,1,",is he my ex? or probably still my bf? idk"
341,1,",new trader joes opened in redding. i no longer have to drive hours and hours for 2 buck chuck!"
342,0, @relsqui learning to. had a test on 26th may but i failed it  so now i gotta spend even more money.
343,0,",@cruleworld we all make mistakes.  at least you won't miss it by mistake"
344,0,",i just finished first season six feet under"
345,1,",apparently ive lost quite a few followers"
346,1,",i want to go to sleep. i should probably workout instead."
347,0,",my fiance is super sick.  but my twin is planning my bridal shower. so excited!"
348,1,",i want nick to come home already  i hate being alone when i'm sick"
349,0,",@taylorswift13 yay! what are your plans for today? i'm seeing you wednesday and thursday"
350,1,",i feel like finding a cave and hiding. i'm over it.  make me happy?"
351,1,",just wants to be everything he wants."
352,1,",see be eh with work today"
353,0,",me and @miszteenababy just finished watchin not easily broken... that movie was sad... it makes u th"
354,0,",@djschnitzel i wish they delivered to the uk"
355,0,", @afrogumofficiai: when you're home alone and you hear a noise ðð"
356,1,",--on the phone wit my president....  i was waiting for this phonecall all day...lmfaoooo..."
357,1,",heading to winnipeg to shoot carmyn + james' wedding! horrah!"
358,1,",#theweeknd the weeknd releases two new tracks from his forthcoming album  â"
359,1,",feeling sick.  wont beupdating the fanpages till wednesday. remember kendra permieres tomorrow at 10"
360,0,",hates that texas gets so damn hot!!! it makes my work the hottest building in the world! wish i coul"
361,0,",ural style cotton moon tree table cloth / cover 0.3 m x 1.2 m"
362,0,",just thought i would let you all know the most agonizing thing about waiting for a jailbreak - no mo"
363,1,",@medlei123 ms banks headlines + a fire line up top djs @ the after party"
364,1,",hey guys!  it is pouring here!  i didn't want to get out of bed today...studio is probably going to"
365,1,",i miss my yiayia and papou"
366,0,",i refused the offer of going to china town in the city cos i rather listen to emma lol"
367,0,",""@fetalmind17 i hope my sacrifices pay off big time,need a job badly """
368,0,",wwii army uniform merrill's marauders jacket &amp; pants"
369,1,",just boook beyonce tickets for novemberrr"
370,1,",dammit! i just deleted all the tweets i had on my phone from my gorgeous sick-nap!  fail."
371,0,",@crucifire lol you need to know mallu (thara mallu) and a bit of spoonerism skill to get it"
372,0,",@mcclorybrin  aww i was sleeping untill mom woke me up   sweet dream of me"
373,1,",@fallenfrommars there are cqc on diff place in the world! it's a great show"
374,0,",it feels so much later when it is only 7:30"
375,1,",just ate a sammich with like a million slices of tomato on it. i'm going to die of heartburn in abou"
376,1,",@satinespark of course  top 5 at all times"
377,1,",the food in the oven is still frozen. seems i have to advance the clock from flashing 12:00 to make"
378,0,",""in trump's america, this will be abolished. """
379,0,",#500px select #photography : olympus digital camera by ravenandwolf  |  #followme"
380,0,",presidential debate: clinton puts trump on the defensive"
381,1,",""i got 100% on my ethics course!  yay, i'm ethical!!    now i just gotta pay $230 and i'll be legal"
382,0,besties. if only @ddlovato was there.  on twitpic:  - my besties. if only @ddlovato ..
383,0,pilate smommy no! i hate the bag of junk. do not waste your money on the little plastic garbage  and
384,1,",â â precision scientific inc coliform incubator water bath laboratory"
385,0,",andante shoemaker @andante_shoemaker picture courtesy of @andante_shoemaker #bespokemakeâ"
386,0,",i had a bad fall last night - basically face-planted the road - and now my right knee is killing me"
387,1,",""in my dreams, you're the one who keeps me asleep on nights where i can care less if i woke up again"
388,1,",a porn star is following me on twitter"
389,0,",""free 30-day trial of amazon's catalogue of a million+ music and video tracks, shows and more  """
390,1,",""""""@davewilkins12: mt. corruptmore  finally,we have some democrats on the mountain side"""
391,1,",just had a great impromtu meeting with a this lady from nbc who starting her own art projects in bk"
392,1,",@lliswerryguy i would but you appear to be trying to reboot software"
393,1,",@metaglyph poke! im watching the end of my tv show.. its almost over.."
394,0,",still working on the same web site. almost there the next one will be so much faster  drupal + uberc"
395,0,",@hotlilly happy to hear you dog came home"
396,0,",i wanna put their song on here but i cant!  scary 80's rock music! my uncles old band!"
397,1,",""happy father's day, papa! i still miss you... """
398,0,",""strikeforce &amp; then yahel. yes, it's gonna be a very good night! cell's hot as always """
399,1,", @secret_2message: @jmohadreda you have a secret messageâ¤ð"
400,0,",""@jonasbrothers hey jb..i think you should be coming to monterrey,mx  it's sad you guys changed the"
401,1,",""first practice in the bahamas. (this is a practice court, not where the game will be played) """
402,1,",""rt @ubringmejoi rt @kaangie you think the positivity helped @iamdiddy ?&lt;---yeah, but give it to"
403,0,",i love boat houses!  cary grant and sofia loren would approve"
404,1,",my 1 year old had a poptart for breakfast. bad mommy"
405,0,",""@seanbonner clarification:  when i say, &quot;dumb,&quot; i mean the fact that a progressive state"
406,0,",""you know, i always thought twitter would help me find my next boyfriend. sadly, social media does n"
407,1,",@brandonbowers i hear u! it used to rock."
408,1,",@jesscathcart i get back the day before term 2 starts lol 5th july that is i think  wish i was back"
409,0,",genoa freestanding ventless ethanol fireplace. tempered safety glass and black m"
410,0,",@amyyvee there we goo  okay. major explaining to follow."
411,1,",@freed_dimarzio depends on your understanding of winter. it's cold enough to have to wear a jumper."
412,1,",yay! fark is back.  now i have to leave for the afternoon"
413,0,",@cameronfrye it's a lose-lose for the octopi: wings fans wants to smash 'em on the ice &amp; pens fa"
414,0,",just heard &quot;yayyy!! you did it!&quot; when she walked out of the bathroom. bryce is stoked i us"
415,0,",@lbwvu @twityankees theeeeeeeeeeeee yankess win! ah that sound is music to my ears!  followed closel"
416,1,",""@redsheep okay, if i bump into him at the lift, i shall twittervert him.  we've got two big bosses"
417,1,",so i was craving golden chick. was hoping charlie's chicken was just as good. definitely not."
418,0,",""@lifeontheedges hi!  i'm back home. waking in the middle of the night like i did during reunion wee"
419,1,",my guinea might die   im very sad"
