Processed Text,Original Scores,Class
like bond outing recent year stunt outlandish border cartoonlike,0.0,0
heavy reliance cgi technology begin creep series,-0.2,-1
newton draw attention like magnet act circle around well know costar mark wahlberg,0.0,0
story lose bite lastminute happy end even less plausible rest picture,0.37777777777777777,1
much way though refreshingly novel ride,0.35,1
full would surely call gutsy time exhilarate movie great yarn,0.38749999999999996,1
film make strong case importance musician create motown sound,0.41666666666666663,1
karman move like rhythm lip chant beat long braid hair little wipe away jewel bead sweat,-0.11875,-1
gosle provide amazing performance dwarf everything else film,0.6000000000000001,2
real movie real people give we rare glimpse culture we nt know,0.2333333333333333,1
tender yet lacerate darkly funny fable,0.25,1
may spoof easy target old giant creature feature acknowledge celebrates cheesiness reason people get kick watch today,0.10833333333333334,1
engaging overview johnson eccentric career,0.2,1
rag cheap unassuming way movie work,0.4,1
actor much charisma happy listen read phone book,0.5,1
hugh grant sandra bullock two likeable actor,0.0,0
sandra nettelbeck beautifully orchestrate transformation chilly neurotic selfabsorbe martha heart begin open,0.08333333333333333,1
behind snow game lovable siberian husky lrb plus one sheep dog rrb picture host parkawrappe dose heart,-0.10000000000000002,-1
everytime think undercover brother run steam find new way surprise amuse,0.13636363636363635,1
manage original even though rip many idea,0.4375,1
singercomposer bryan adams contribute slew song potential hit simply intrusive story whole package certainly capture intend er spirit piece,0.10357142857142856,1
think america would enough plucky british eccentric heart gold,0.0,0
yet act still charming,0.7,2
whether enlighten derrida lecture self derrida undeniably fascinating playful fellow,0.7,2
pleasant enough movie hold together skilled ensemble actor,0.41111111111111115,1
good american movie trouble teen since whatever,0.12499999999999999,1
disney always hitormiss bring beloved kid book screen tuck everlaste little,0.25625,1
labour involve create layer richness imagery chiaroscuro madness light astonish,0.4,1
animated subplot keenly depict inner struggle adolescent hero insecure uncontrolle intense,-0.09999999999999999,-1
invincible werner herzog alive well live la,0.11818181818181818,1
morton great actress portray complex character morvern callar grow less compelling far meander shocking start,-0.04444444444444445,-1
part charm satin rouge avoid obvious humour lightness,0.0,0
son bride may good halfhour long come replete flattering sense mystery quietness,0.32499999999999996,1
simmer psychological drama burst sudden violence startling slow buildup precede,-0.2,-1
taut intelligent psychological drama,0.4,1
truly move experience perfect example art do right help heal clarify comfort,0.6428571428571428,2
delicately observe story deeply feel masterfully stylize triumph maverick director,0.2333333333333333,1
heart movie deftly wrought suspense yarn whose rich shading work color rather substance,0.2916666666666667,1
appearance treebeard gollum expand role either love see rolling eye,0.5,1
love,0.5,1
gollum performance incredible,0.9,2
screenplay ingeniously construct memento,0.5,1
movie book would pageturner ca nt wait see happen next,0.0,0
haneke challenge we confront reality sexual aberration,0.5,1
absorb disturb perhaps disturb originally intend little clarity would go long way,0.04583333333333334,1
good film year far benchmark good picture contender measure,0.5,1
painful watch viewer willing take chance reward two year accomplish riveting film performance,0.01666666666666668,1
startling film give fascinating albeit depress view iranian rural life close iraqi border,0.033333333333333326,1
artsy flourish aside narc gritty movie get day,0.0,0
isle preposterous thoroughly misogynistic vista incredibly beautiful look,0.85,2
together tok orchestrate buoyant darkly funny dance death,0.25,1
process demonstrate still lot life hong kong cinema,0.0,0
director kapur filmmaker real flair epic landscape adventure well film early englishlanguage movie overpraise elizabeth,0.13333333333333333,1
movie blast educational energy bouncy animation catchy song escort entire minute,0.125,1
sport movie action exciting field story care,0.2,1
doug liman director bourne direct traffic well get nice wintry look location absorb we movie spycraft use damon ability focus sincere,0.39999999999999997,1
tenderness piece still intact,0.0,0
katz use archival footage horrifying document lynching still photograph charming old reeltoreel recording meeropol entertain child create song history powerful song,0.04999999999999998,1
like film almost anthropologically detailed realization early suburbia significant without overstate,0.2916666666666667,1
mcfarlane animation lift film firmly level comingofage film also jar hard get back boy story,-0.1638888888888889,-1
nothing else movie introduce promise unusual kind psychological horror,0.26666666666666666,1
normal screen process bromide would barely enough sustain interstitial program discovery channel,0.075,1
imax clichs disappear vertiginous perspective open photography,0.0,0
writerdirector burger imaginatively fan ember dormant national grief curiosity calcify chronic cynicism fear,-0.10000000000000003,-1
rollercoaster ride movie,0.0,0
enjoy time favor watch surprised quickly fade memory,0.27777777777777773,1
chicago sophisticated brash sardonic completely joyful execution,0.13333333333333333,1
steve irwin method ernest hemmingway accelerate speed volume,0.0,0
refreshing korean film five female high school friend face uphill battle try take relationship deep water,0.165,1
surface loversontherun crime flick lot common piesiewicz kieslowski early work film like double life veronique,-0.06666666666666667,-1
value hold enterprise crew together previous adventure peril againcourage selfsacrifice patience pressure,-0.16666666666666666,-1
possible sequel outshine original sl,0.1875,1
romantic comedy operate rule selfcontaine universe,0.0,0
friend couple mile pabst blue ribbon beer drink ultimate redneck roadtrip,0.0,0
film often fill sense pure wonderment excitement often see today cinema du sarcasm,0.21428571428571427,1
might tempt regard mr andrew collaborator oddball mr earnhart quizzical charming movie allow we see finally artist,0.35,1
feelgood picture good sense term,0.7,2
edit shoot syncopated style mimic work subject pray turn idea documentary head make rousing invigorate fun lack mtv puffery,0.044444444444444446,1
mostly intelligent engross psychologically resonant suspenser,0.4,1
memoryasidentity obviation give secret life intermittent unease reaffirming longheld illusion indeed reality erase recast self,-0.4,-1
hiphop history metaphor love story,0.5,1
scope ambition accomplishment child century take kurys career whole new level,0.16818181818181818,1
may dramatic gutwrenching impact holocaust film compelling story mainly way tell people,0.011111111111111118,1
drama cube,0.0,0
personal revelation regard shop mean big picture iconic character gambol fluidly story charming result,0.14791666666666667,1
gentle compassionate drama grief healing,-0.30000000000000004,-1
somewhere short tremor modern bscene neither funny clever though agreeably unpretentious way spend ninety minute,0.15416666666666667,1
digitalvideo documentary standup comedian great glimpse different world,0.26666666666666666,1
unlike teen flick swimming take time tell story cast mostly littleknown performer key role introduce intriguing ambiguity,0.2,1
enthral playful film constantly frustrate desire know truth man deconstructing format biography manner derrida would doubtless give blessing,0.0,0
extreme op exceed expectation,-0.125,-1
good fun good action good act good dialogue good pace good cinematography,0.5750000000000001,2
pay nine buck hear suffer afghan refugee news still unaffected,-0.05,-1
drama like make human,0.0,0
thunderous ride first quiet cadence pure finesse far shortage dilute potency otherwise respectable action,0.19404761904761905,1
still flick fun host truly excellent sequence,0.65,2
obviously strike responsive chord many south koreans work magic part world,0.3333333333333333,1
run nt walk see barbed brace comedy big screen,0.0,0
classy item legend may nothing leave prove still chop drive show do,0.1,1
nature progress,0.0,0
fessenden horror trilogy theme prove important especially finale,0.2,1
exactly gourmet meal fare fair even come drivethru,0.475,1
imax make strap pair goggle shut real world take vicarious voyage last frontier space,0.1,1
merely technical logistical feat russian ark mark cinematic milestone,0.0,0
lrb schweiger rrb talente terribly charismatic quality essential movie star social anarchist,0.17777777777777778,1
great deal sizzle little steak,0.30625,1
spectacular sizzle,0.6,2
incarnation fizz infectious,0.0,0
original gem obsession time,0.375,1
delight newcomers story know bygone day,0.0,0
gloriously goofy lrb gory rrb midnight movie stuff,0.0,0
film overcome regular minefield comingofage cliche potent dose honesty sensitivity,0.25,1
sense nt dull slasher film gorefest connoisseur psychological horror ticket,-0.14583333333333334,-1
minor comedy try balance sweetness coarseness paint sad picture single scene,-0.20714285714285716,-1
intensely personal yet unlike quill deftly show we temper time,0.3,1
lofi special effect folk cobble nemesis together indulge force humanity hardware way george lucas long forget,0.15357142857142858,1
like mike nt win point originality,0.8,2
succeed follow feelgood formula win style offering target audience urban kid welcome role model optimism,0.5333333333333333,2
hoot half great way american people see candidate like give cent stump speech,0.21111111111111114,1
far perfect heart right place innocent wellmeaning,0.4714285714285714,1
sad superior human comedy play back road life,0.04999999999999999,1
waydowntown mean perfect film boast huge charm factor smack originality,0.36250000000000004,1
tim allen great role never hog scene fellow cast plenty laugh good line everyone comedy,0.6,2
load enjoyable conanesque claptrap punish specialeffect soul assault mummy picture represent,0.5,1
enormously likable partly aware grasp absurd,0.08333333333333333,1
british flick gleefully unconcerned plausibility yet determine entertain,0.0,0
old story lively script sharp acting partially animate interlude make kiss seem minty fresh,0.05189393939393939,1
must see believe,0.0,0
ray liotta jason patric good work underwritten role nt fool nobody deserve prize,0.7,2
everything yvan charlotte everything yvan rambunctious jewish sister nonjew husband feel funny true,0.19999999999999998,1
year happy surprise movie deal real subject always surprising way,0.4166666666666667,1
fan behan work irish movie general reward borstal boy,0.02500000000000001,1
mystery transparently obvious slowly pace thriller,-0.15000000000000002,-1
lrb rrb worth recommend two marvelous performance michael caine brendan fraser,0.65,2
film faithful one presume book twin premise become back parent idea age time fleet precious commodity matter old,0.19999999999999998,1
stephen earnhart homespun documentary mule skinner blue nothing love posse trailer park denizen,0.16666666666666666,1
solidly seaworthy chiller,0.0,0
get past fantastical aspect harsh reality isle get sockyouintheeye flick visual tourdeforce story unlike likely see anywhere else,-0.1125,-1
many miss hit ultimately find humor foible human behavior welcome return root genre depend surprise,0.325,1
wellmade thriller certain level intelligence nonreactionary morality,0.21428571428571427,1
enough science make count educational enough beauty make unforgettable,0.2625,1
remain solid somewhat heavyhande account neardisaster do howard steady imaginative hand,0.25555555555555554,1
makmalbaf follow resolutely realistic path uncompromising insight harsh existence kurdish refugee iran borderland,-0.016666666666666677,-1
good chunk run time trap effective claustrophobic thriller,0.18333333333333326,1
crush clever captivate romantic comedy welcome pinch tartness,0.32222222222222224,1
nair capture complexity big family trial tribulation,0.0,0
seaside splendor shallow beautiful people nice look wait story get go,0.37222222222222223,1
rare urban comedy even attempt insight honesty disarm indie,0.09999999999999999,1
rank among willam good screen work,-0.050000000000000044,-1
engagingly capture madden magnetic ebb flow friendship,0.4,1
experience engross like bury new environment,0.13636363636363635,1
traditional moviemaking way do lot careful period attention well welcome wit,0.23333333333333336,1
maybe past year see release bad film comedy decade honestly analyze really nt bad,-0.26249999999999996,-1
droll wellacte characterdriven comedy unexpected deposit feel,0.1,1
simply fun ever documentary,0.15,1
funny movie,0.25,1
watch haneke film aptly enough challenge punishment,0.0,0
watch huppert great actress tear landmark role rivet,0.8,2
cop story understand medium amazingly well,0.6000000000000001,2
britney deliver big screen safe sound way like yearold superstar girl travel fame freeway,0.3,1
outside show business enjoy close look people nt really want know,0.20000000000000004,1
kind nervous film either give mild headache exhilarate,0.4666666666666667,1
watch beanie gang put together slasher video spare part borrow material much fun must make,0.3,1
child may understand everything happen sure even miyazaki almost certainly fascinate undoubtedly delighted,0.47142857142857136,1
fascinating fun film,0.5,1
tadpole sophisticated funny goodnatured treat slight pleasure,0.19444444444444445,1
insightful oscarnominate documentary child side everescalate conflict say away watchful parental eye give peace yet another chance,0.0,0
admire work lot,0.0,0
whether move love bore frustrated film still feel something,-0.09999999999999998,-1
enough moment heartbreake honesty keep one glue screen,0.0,0
goodness queen latifah lot offer seem problem flaunt natural gift,0.1,1
must strong back,0.21666666666666665,1
smart sweet playful romantic comedy,0.1880952380952381,1
australian actordirector john polson awardwinne english cinematographer gile nuttgen make terrific effort disguise obvious energy innovation,0.0,0
without heavyhandedness dong provide perspective intelligent grasp human foible contradiction,0.4,1
solid lumpinthethroat family entertainment derive power stick fact,0.0,0
entertainment movie keep divert good lighten wallet without leave sting,0.7,2
interesting fun see goodall chimpanzee biggerthanlife screen,0.4,1
wo nt bust gut intend merely blandly cinematic surgical examination make joke joke,0.0,0
somewhat crudely construct grip questing look person rack selfloathing become enemy race,-0.7,-2
extend writings jean genet john rechy film fassbinder perhaps even nocturnal work goya,0.0,0
narc may get originality wear bmovie heritage like badge honor,0.0,0
film striking end one realize long way go fully understand sexual permutation involve,0.31666666666666665,1
lrb drumline rrb entertain admirable nt,0.0,0
good early play culture clash brother,0.39999999999999997,1
unabashedly schmaltzy thoroughly enjoyable true story,0.425,1
thoughtful look painful incident make headline,-0.14999999999999997,-1
walk good girl mixed emotion disapproval justine combine tinge understanding action,0.26666666666666666,1
tsai mingliang take trademark style refine crystalline point,0.0,0
purely propaganda work unabashe hero worship nonetheless likely inadvertently timely invaluable implicit reminder role we foreign policy play rise castro,-0.075,-1
trim minute lavish threeyearold production enough grandeur scale satisfy grownup escapism,0.0,0
get truly unique character study crosssection americana hollywood could nt possibly fictionalize believe,0.1875,1
though film clumsy ambition equally admirably uncommercial,-0.15,-1
dare mesmerize exceedingly hard forget,-0.2916666666666667,-1
moore performance impress almost much work hayne safe,0.35,1
visit spymovie territory like novel ca nt put examine footnote history seldom bring light screen keep guess first frame last,0.21666666666666667,1
absorb sliceofdepression life touch nerve ring true,0.35,1
mr parker brilliantly update source grasp essence compose sorrowful hilarious tone poem alienated labor absurdist workplace sitcom,0.7,2
result something quite fresh delightful,0.65,2
persnickety preteen enjoy nonthreatene thrilling adventure,0.325,1
despite many infuriating flaw least amy selfabsorbe personality amy honesty win,0.10000000000000002,1
one polanski good film,0.7,2
day great bond movie good bond movie still make much well typical bond knockoff,0.3833333333333333,1
polished korean politicalaction film good bad hollywood action epic,0.05000000000000003,1
progress,0.0,0
elle portray quiet fastidiousness per christian ellefsen truly singular character one whose frailty slightly magnify version one vex nearly everyone,-0.016666666666666663,-1
denis cowriter michele petin impeccable screenplay penetrate rawness unflinche tantalizing,0.75,2
lead provocatuer testud parmentier give superlative performance,0.0,0
absorb trip mind motivation people stress well keen unsentimental look variation theme motherhood,0.0,0
admire particularly unexpected downer end,0.1,1
passion arouse discord old new culture set strange stark beauty mideast desert lovingly perceptively film almost taste desiccated air,0.11727272727272726,1
remarkably accessible affect,0.375,1
never mind whether buy stuff barris cia hit man,0.0,0
kooky yet shadowy vision clooney sustain throughout dare inventive impressive,0.75,2
triumph art direction narrative art direction,0.0,0
behan know spin tale one ca nt help think appreciate attempt turn life art,0.0,0
jir hubac script gem,0.0,0
character engage intimate dialogue realistic greatly move,0.3888888888888889,1
scope silberstein family large grow attach life full strength warmth vitality,0.28214285714285714,1
moore complex important film also believe immensely entertain david goliath story still much play,0.07500000000000001,1
additional storyline interesting entertain nt magical quality beginning story,0.5,1
like new footage still love old stuff,0.24545454545454545,1
though mama take bit long find rhythm thirdact plot development somewhat melodramatic ribald humor touch nostalgia sure please anyone search jule jim new millennium,0.19545454545454546,1
might buy idea,0.0,0
definitely want tshirt,0.0,0
provide intriguing window imagination hermetic analysis todd solondz,0.30000000000000004,1
windtalker shapelessly gratify kind movie invite pick apart fault even admit somehow hit live,0.1787878787878788,1
present astute appraisal middle american musical torpor desperate struggle escape,-0.008333333333333323,-1
make we happy anyway,0.8,2
thoughtful move piece face difficult issue honesty beauty,-0.04999999999999999,-1
one great romantic comedy past decade,0.18333333333333335,1
would nt call good girl date movie lrb antidate movie like rrb good good horrid,0.6999999999999998,2
benefit strong performance zhao dong jie face remember end,0.4333333333333333,1
film brim detail nuance one speak volume ability human spirit find solace event could easily crush forever,0.21666666666666667,1
director steven shainberg succeed focus intently character make quirky individual rather figure fun,0.09999999999999999,1
ultimately stand forth important chronicle abuse one latin america oppressive regime,0.2,1
movie soft percolating magic deadpan suspense,0.016666666666666646,1
wellmade often lovely depiction mystery friendship,0.5,1
use audience figurative portofcall dong pull evenhanded ideological ship dock unloading continue long journey still ahead,-0.05,-1
understand generation define music much music define generation,0.2,1
transporter lively fun unapologetically dumb,-0.037500000000000006,-1
witness several greekamerican wedding happily victim none testify comparative accuracy ms vardalos memory insight,-0.037500000000000006,-1
ever possible say williams truly inhabit character,0.0,0
,0.0,0
present impossible romance impossible world pumpkin dare we say either impossible force we confront possible might make,-0.4,-1
impressive debut firsttime writerdirector mark romanek especially consider background music video,0.5,1
incendiary deeply thoughtprovoke look one peculiar lrb peculiarly venomous rrb bigotry increasingly frightening theocracy,-0.25,-1
performance top notch get accent nothing become emotional though still positive wrench sit,0.24242424242424243,1
success also temper element prove direct antithesis get right,0.22857142857142856,1
solid affect exactly thoughtprovoke,0.125,1
dazzlingly selfassure directorial debut hard know praise first,0.23611111111111108,1
parker hold true wilde vision pure comedy absolutely mean desire anything polished sophisticated entertainment love cleverness,0.25035714285714283,1
mnch genuine insight make film occasional overindulgence forgivable,0.2,1
thankfully film skirt rapidly deteriorate line fantasy reality take tongueincheek attitude even push croc hunter agenda,0.0,0
ultimately message trouble every day seem sexual desire disrupt life stasis,0.09999999999999999,1
like sucker good old fashion romance someone shamelessly love eat mostly martha offer perfect ingredient satisfy appetite,0.4166666666666667,1
film enough everything reenactment archival footage talkinghead interview music simply sublime,0.0,0
stab absurdist comedy mostly humor sweet gentle occasionally cloy kind become iranian specialty,0.32999999999999996,1
wonderful characterbase comedy,1.0,2
would interesting hear side talk woman count,0.5,1
endearingly offbeat romantic comedy great meetcute gimmick,0.10000000000000002,1
unique tugofwar view expectation undeniable pleasure right,0.33035714285714285,1
use oldtime formula terribly original rather messy love big dumb happy movie big fat greek wedding,0.1375,1
almost impossible move movie depiction sacrifice stir epilogue postsoviet russia,-0.6666666666666666,-2
know exactly godard film word image nt add mesmerize,0.25,1
tone balanced reflective reasonable,0.2,1
principal cast fine bishop stevenson standout,0.4166666666666667,1
could change america full necessary discussion point accessible make complex politic understandable viewer look nothing energetic entertainment,0.185,1
strike largely celebratory film sense isolation permeate bastion individuality ikea world,0.21428571428571427,1
mind set goofy comedy trooper entertain gross out bawdy comedy head game,0.033333333333333326,1
somewhat blur kinnear performance razor sharp,-0.125,-1
director mr ratliff wisely reject temptation make fun subject,0.2777777777777778,1
anyone remember interested one man response stroke ram dass fierce grace worth seek,0.275,1
intrigue beautiful film read book likely disappoint,0.425,1
new guy heart,0.13636363636363635,1
brain,0.0,0
savvy exploration paranoia insecurity america culture fear,0.0,0
legendary irish writer brendan behan memoir borstal boy give love screen transferral,0.5,1
film great asset much another connectthedot spyontherun picture,0.5,1
clever caper movie twist worthy david mamet enormous fun think audience,0.2,1
one saddest film ever see still manage uplift overly sentimental,-0.25,-1
morton usual brilliant,0.325,1
even rough edge safely sand american insomnia still pretty darn good,0.27,1
nt know precisely make steven soderbergh full frontal though nt stop enjoy much,0.33749999999999997,1
tug war ensue much snapshot modern china microcosm crash course movie mythology,0.2,1
nearly surreal dabble french simple movie take risk choose see,0.08333333333333333,1
enjoy ride lrb bump rrb creamy depth ultimate theme,0.2,1
could say slow time could say character act way real people would nt one thing could nt say alias betty predictable,-0.10000000000000002,-1
asia authors anna battista italian superstar aspire directress happen bad enemy,-0.3499999999999999,-1
roman coppola may never become filmmaker dad heck filmmaker,0.0,0
base cq certainly keep eye next project,-0.19523809523809524,-1
amuse breezily apolitical documentary life campaign trail,0.0,0
high melodrama,-0.06999999999999999,-1
emotionally engross thank strong credible performance whole cast,0.2583333333333333,1
finally genre movie deliver couple genre less,-0.08333333333333333,-1
much enjoyable watch enlighten listen new side previous reality visit people able make impact theater world,0.24242424242424243,1
spielberg rare director want invite viewer gawk applaud special effect,0.32857142857142857,1
want part action wallpaper choose reality,0.1,1
thankfully,0.0,0
post philosophical message personal freedom first might palatable intend,0.08333333333333333,1
hu liu offer natural matteroffact performance glint sorrow long love,0.18333333333333335,1
bold lyrical first feature raja amari expand pat notion middleage woman wanna fun rouse treatise sensual empowerment,0.29444444444444445,1
easy respect enthuse andersson rigorous personal vision distance distance,0.21666666666666667,1
girl go wild go civil,0.1,1
tunney allow build uncommonly human character almost reallive girl complete trouble hope,-0.03333333333333333,-1
film least surprising still ultimately satisfy,0.13333333333333333,1
think sort comfort food mind,0.0,0
clever brutal strangely soulful movie,-0.2527777777777778,-1
always remain movingly genuine,0.4,1
intelligent fiction learn cultural clash,0.45,1
grab child imagination amaze amuse,0.0,0
remarkable minute meditation nature revolution,0.75,2
would follow haneke creepy exploration reward brutal committed performance huppert magimel,-0.6875,-2
involve true story chinese actor take drug wind institution act mostly actual people involve,0.11666666666666665,1
hand year thoughtprovoke film,0.0,0
pay price intricate intellectual gamesmanship,0.3,1
terrific american sport movie dennis quaid athletic heart,0.0,0
highenergy movie drum marching excellent care story little weak,0.14583333333333334,1
compelling revenge thriller though somewhat weaken miscast lead lady,0.3,1
amazingly perceptive subtle supportive unsentimental look mark family,0.2555555555555556,1
whole lot foul freaky funny,0.225,1
attal mix comedy serious exploration ego jealousy within seemingly serene marriage,-0.3333333333333333,-1
diversity artist represent term style ethnicity prevent proceeding feel repetitious appropriately brief minute run time,0.0,0
pianist fine valedictory work polanski make rich experience make movie somehow rich bargain,0.3888888888888889,1
foster nail role give tight focus performance illuminate shard feel,-0.17857142857142858,-1
even ca nt pronounce gyro correctly appreciate much vardalos humor transcend ethnic boundary,0.2,1
office work really alienate bartleby effectively make,0.4,1
farrell thankfully manage outshine role successfully play foil willis worldweary colonel,0.75,2
audience condition get weepy saucereye downycheeke moppets empathetic caretaker probably feel emotionally cheat film tart sugarfree wit,0.0,0
bennett dramatization personal descent postbreakup perdition morbid appeal tough shake,-0.19444444444444445,-1
intriguing entertaining introduction johnson,0.4,1
expect sayle smart wordplay clever plot contrivance sharp ever though may overshadow strong performance,0.17232142857142857,1
model film like like,0.0,0
weber weissman demonstrate insight celebratory verve cockette nt much gender sexual preference political agitprop simply triumph indomitable human rebel connect create,0.11666666666666665,1
yeah flick damn good,0.7,2
nt great,0.8,2
unbelievably fun film lead man away perfection,0.3,1
overthetop bit ostentatious movie get oodle style substance,0.0,0
poignant powerful narrative reveal read write arithmetic subject learn life,0.044444444444444446,1
nicely serve examination society transition,0.6,2
tender touching drama base true story trouble africanamerican quest come term origin reveal yearn heart acceptance within family circle,-0.03750000000000002,-1
randy film sexy people gorgeous place push pull lrb literally figuratively rrb desire lrb sex luca rrb make arouse good time,0.6333333333333333,2
absorb character study andr turpin,0.0,0
celebrate sundance slight comedy manner win performance glossy glib charm hard beat,0.11388888888888891,1
renner performance dahmer unforgettable deeply absorb,0.4,1
one singles performance awardworthy would expect nothing less bunch,-0.16666666666666666,-1
love read andor poetry mean check,0.09375,1
probably love,0.5,1
though particular interest student enthusiast international dance world music film design make viewer age cultural background rhythmic ability want get dance,0.08888888888888889,1
energetic boldly provocative,0.41666666666666663,1
star war back major way,0.03125,1
movie album wo nt want miss,0.0,0
rare find film dazzle eye challenge brain satisfie lust fastpaced action minority report deliver whole lot,0.20000000000000004,1
transition adulthood fraught much truth small amount poetry girl ca nt swim,-0.024999999999999994,-1
nothing fresh wannabe write mr demeo produce direct film charles addessi much time movie feel authentic,0.275,1
jacquot tosca treat,0.0,0
end thing audience like beatrice watchful affection monster,0.0,0
like movie notte hill four wedding funeral bridget jones diary high fidelity wo nt want miss boy,0.16,1
gentle melding drama comedy make time,0.2,1
something true film buff enjoy,0.375,1
romanek keep film constantly taut reflect character instability metaphorical visual style unnerve heartbeatlike score,0.0,0
wholeheartedly recommend everyone see movie historical significance alone,0.0,0
hey else need shower,0.0,0
longley construct remarkably coherent horrifically vivid snapshot turbulent day,0.3125,1
although bang cliche drum time crowdpleaser fresh dialogue energetic music goodnature spunk often infectious,0.4,1
often gruelle heartbreaking witness seldahl wollter sterling performance raise far level usual maudlin disease movie,-0.075,-1
go see enjoy,0.4,1
stunning dreamlike visual impress even viewer little patience eurofilm pretension,0.10416666666666667,1
george clooney prove quite talented director sam rockwell show we worldclass actor confession dangerous mind,0.04999999999999999,1
vastness imply metropolis breathtake,0.0,0
murderous maid may well comprehensive film also strike close truth,0.0,0
people dogtown zboy funny aggressive alive watch ca nt wait see next,0.11666666666666665,1
greengut monster movie go beaut,0.0,0
bundy michael reilly burke lrb octopus river fear rrb right amount charisma menace,0.2857142857142857,1
deceivingly simple film one grow power retrospect,0.0,0
ana vivid vibrant individual movie focus upon make successful accessible,0.2833333333333333,1
slick skillful little horror film,-0.21875,-1
witty take change risk romance film use humour make point acceptance growth,0.5,1
lrb anderson rrb use hitormiss aesthetic hit often enough keep film entertain even none make lick sense,0.0,0
bubba hotep wonderful film bravura lead performance bruce campbell nt deserve leave build everyone aware,0.625,2
despite long run time pace never feel slack scene scream bathroom break,-0.05,-1
bullock good job work natural likability,0.39999999999999997,1
film precious increment artfully camouflage everyday activity,0.15,1
kinnear give tremendous performance,0.3333333333333333,1
good movie kind since brazil,0.6499999999999999,2
lucas take note,0.0,0
use special effect,0.35714285714285715,1
frailty write well even simple goddammit,0.0,0
near end take whole meaning,0.15000000000000002,1
one hour photo intrigue snapshot one man delusion bad nt flash insight,-0.6999999999999998,-2
kaufman create eerie sense time event night matthew kill,-0.5,-1
chalk adoration de niro murphy pretty good time movie despite myriad flaw,0.475,1
scene sensibility familiar exude kind nostalgic spymovie charm time fresh free usual thriller nonsense seem happen first time,0.16785714285714284,1
represent betterthanaverage moviemaking nt demand dumb distracted audience,-0.375,-1
charming yet poignant tale irrevocable tie bind,0.35,1
enchant spectacular potter fan anxious ride hogwart express toward new year magic mischief,0.24659090909090908,1
talent actor help moonlight mile rise heartonitssleeve writing,0.0,0
humble effort spice wry humor genuine pathos especially morgan redgrave,0.06666666666666667,1
examination aquatic life shore baja california peninsula mexico offer engrossing way demonstrate virtue imax format,0.6,2
dark disturb also surprisingly funny,0.05,1
movie avalanche eyepoppe visual effect,0.0,0
start bang fizzle like wet stick dynamite end,-0.1,-1
still worth look,0.3,1
impressive though film openende finale refuse entirely close character emotional wound,0.3333333333333333,1
hip ride hypertime clockstopper lively enjoyable adventure age time,0.5,1
greni terrific bring unforced rapidfire delivery toback heidegger nietzschereference dialogue,0.0,0
polish relatively sincere piece escapism,0.5,1
story wrap back around kind elegant symmetry rare film today warn slow slog get,0.22000000000000003,1
whole cast look much fun slapstick antic silly street patois toss around obscure expression like bellini mullinski compact minute breeze,0.0,0
